### TABLE: leads_qualified
COLUMNS:
       mql_id (TEXT)
       first_contact_date (TEXT)
       landing_page_id (TEXT)
       origin (TEXT)
ROWS: 8,000
COLUMNS: ['mql_id', 'first_contact_date', 'landing_page_id', 'origin']
  row1: ('dac32acd4db4c29c230538b72f8dd87d', '2018-02-01', '88740e65d5d6b056e0cda098e1ea6313', 'social')
  row2: ('8c18d1de7f67e60dbd64e3c07d7e9d5d', '2017-10-20', '007f9098284a86ee80ddeb25d53e0af8', 'paid_search')
  row3: ('b4bc852d233dfefc5131f593b538befa', '2018-03-22', 'a7982125ff7aa3b2054c6e44f9d28522', 'organic_search')
  row4: ('6be030b81c75970747525b843c1ef4f8', '2018-01-22', 'd45d558f0daeecf3cccdffe3c59684aa', 'email')
  row5: ('5420aad7fec3549a85876ba1c529bd84', '2018-02-21', 'b48ec5f3b04e9068441002a19df93c6c', 'organic_search')
  row6: ('28bdfd5f057764b54c38770f95c69f2f', '2018-01-14', '22c29808c4f815213303f8933030604c', 'organic_search')
  row7: ('126a0d10becbaafcb2e72ce6848cf32c', '2018-05-15', '6a110e795dd487f1cf8d7583671987af', 'email')
  row8: ('f76136f54d14a3345951f25b7932366b', '2018-05-24', 'd51b0d02f063ba1d053db6d97226eec3', 'email')
  row9: ('2f838cade4a6012a6cb1016d1d8d95ed', '2017-11-10', 'aeac92c0f5ae22a04ed3b746cce3a1b6', 'organic_search')
  row10: ('7281942387a1a0c3f72a50a8b0bb0920', '2017-12-25', '88740e65d5d6b056e0cda098e1ea6313', 'social')
